School_Type,Location,Infrastructure,Teaching_Staff,Gender,Caste,Age,Standard,Socioeconomic_Status,Dropout_Status
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Government,Urban,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,High,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,10,5,Low,Dropout
Private,Rural,Poor,Poor,Male,SC,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Semi-Urban,Good,Good,Female,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Male,SC,13,8,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,12,7,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,14,9,Low,Dropout
Government,Rural,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Semi-Urban,Good,Good,Male,OBC,15,10,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,SC,14,9,High,Enrolled
Government,Rural,Basic,Good,Female,ST,12,7,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,General,13,8,Low,Dropout
Private,Urban,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,12,7,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,OBC,10,5,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,15,10,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,OBC,12,7,Moderate,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Semi-Urban,Good,Good,Male,OBC,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,ST,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,11,6,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,General,15,10,High,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Urban,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Good,Good,Male,OBC,12,7,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Female,OBC,15,10,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,13,8,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,11,6,High,Enrolled
Government,Rural,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Private,Semi-Urban,Poor,Poor,Male,OBC,14,9,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,13,8,Low,Dropout
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,10,5,High,Enrolled
Private,Rural,Basic,Good,Female,ST,15,10,Moderate,Enrolled
Government,Rural,Poor,Poor,Male,SC,14,9,Low,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Rural,Basic,Good,Female,ST,12,7,Moderate,Enrolled
Private,Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,SC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,General,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,12,7,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,ST,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Urban,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,Low,Enrolled
Government,Rural,Poor,Poor,Male,ST,13,8,High,Dropout
Government,Semi-Urban,Good,Good,Male,SC,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,OBC,11,6,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,13,8,High,Enrolled
Government,Urban,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,High,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,10,5,Low,Dropout
Private,Rural,Poor,Poor,Male,SC,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,12,7,High,Enrolled
Government,Urban,Excellent,Excellent,Male,General,14,9,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,OBC,14,9,High,Enrolled
Government,Rural,Basic,Good,Female,ST,12,7,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,12,7,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,OBC,10,5,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,15,10,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,13,8,High,Enrolled
Private,Urban,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,OBC,10,5,High,Enrolled
Private,Semi-Urban,Good,Good,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,11,6,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,General,15,10,High,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Good,Good,Male,OBC,12,7,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,SC,10,5,Low,Dropout
Private,Urban,Excellent,Excellent,Female,OBC,15,10,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,13,8,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,11,6,High,Enrolled
Government,Rural,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Private,Semi-Urban,Poor,Poor,Male,OBC,14,9,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,13,8,Low,Dropout
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,10,5,High,Enrolled
Private,Rural,Basic,Good,Female,ST,15,10,Moderate,Enrolled
Government,Rural,Poor,Poor,Male,SC,14,9,Low,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Rural,Basic,Good,Female,ST,12,7,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,SC,13,8,High,Enrolled
Government,Urban,Excellent,Excellent,Male,ST,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,General,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,12,7,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,ST,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,12,7,Low,Dropout
Private,Urban,Basic,Good,Female,OBC,11,6,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,High,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,10,5,Low,Dropout
Private,Rural,Poor,Poor,Male,SC,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Semi-Urban,Good,Good,Female,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Male,SC,13,8,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,12,7,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,14,9,Low,Dropout
Government,Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,OBC,14,9,High,Enrolled
Government,Rural,Basic,Good,Female,ST,12,7,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,12,7,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,OBC,10,5,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,15,10,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,OBC,10,5,High,Enrolled
Private,Semi-Urban,Good,Good,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,11,6,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,General,15,10,High,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Good,Good,Male,OBC,12,7,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Female,OBC,15,10,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,13,8,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,11,6,High,Enrolled
Government,Rural,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Private,Semi-Urban,Poor,Poor,Male,OBC,14,9,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,13,8,Low,Dropout
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,10,5,High,Enrolled
Private,Rural,Basic,Good,Female,ST,15,10,Moderate,Enrolled
Government,Rural,Poor,Poor,Male,SC,14,9,Low,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Urban,Basic,Good,Female,ST,12,7,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,SC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,General,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,12,7,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,ST,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,OBC,11,6,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Urban,Excellent,Excellent,Male,General,12,7,High,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,10,5,Low,Dropout
Private,Rural,Poor,Poor,Male,SC,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Semi-Urban,Good,Good,Female,General,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Male,SC,13,8,Low,Dropout
Private,Urban,Poor,Poor,Male,ST,12,7,High,Enrolled
Government,Semi-Urban,Excellent,Excellent,Male,OBC,14,9,Low,Dropout
Government,Rural,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,OBC,14,9,High,Enrolled
Government,Rural,Basic,Good,Female,ST,12,7,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,12,7,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,OBC,10,5,Low,Dropout
Government,Semi-Urban,Good,Good,Male,SC,15,10,Low,Dropout
Private,Rural,Poor,Poor,Male,ST,13,8,High,Enrolled
Private,Rural,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,11,6,Low,Dropout
Private,Rural,Poor,Poor,Male,OBC,10,5,High,Enrolled
Private,Semi-Urban,Good,Good,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,SC,13,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,11,6,Low,Dropout
Private,Semi-Urban,Good,Good,Male,OBC,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Female,General,15,10,High,Enrolled
Government,Semi-Urban,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
Private,Rural,Good,Good,Male,OBC,12,7,Moderate,Enrolled
Private,Semi-Urban,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Rural,Basic,Good,Female,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Female,OBC,15,10,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,ST,14,9,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,13,8,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,11,6,High,Enrolled
Government,Rural,Excellent,Excellent,Male,General,10,5,Low,Dropout
Private,Rural,Basic,Good,Female,SC,15,10,Moderate,Enrolled
Private,Semi-Urban,Poor,Poor,Male,OBC,14,9,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,13,8,Low,Dropout
Government,Rural,Basic,Good,Female,SC,12,7,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,11,6,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,10,5,High,Enrolled
Private,Rural,Basic,Good,Female,ST,15,10,Moderate,Enrolled
Government,Rural,Poor,Poor,Male,SC,14,9,Low,Dropout
Government,Semi-Urban,Good,Good,Male,OBC,13,8,Low,Dropout
Private,Rural,Basic,Good,Female,ST,12,7,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,SC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,15,10,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,SC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,ST,12,7,Low,Dropout
Private,Rural,Basic,Good,Female,General,11,6,Moderate,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Rural,Excellent,Excellent,Male,ST,12,7,Moderate,Enrolled
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,General,10,5,High,Enrolled
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Government,Urban,Basic,Good,Female,ST,14,9,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,OBC,13,8,High,Enrolled
Government,Rural,Excellent,Excellent,Male,SC,12,7,Low,Dropout
Government,Rural,Basic,Good,Female,OBC,11,6,Low,Dropout
Private,Semi-Urban,Poor,Poor,Male,ST,10,5,Moderate,Enrolled
Private,Rural,Excellent,Excellent,Male,General,15,10,High,Enrolled
Government,Rural,Basic,Good,Female,SC,14,9,Low,Dropout
Government,Semi-Urban,Poor,Poor,Male,OBC,13,8,Low,Dropout
Private,Urban,Excellent,Excellent,Male,General,12,7,Moderate,Enrolled
Private,Rural,Basic,Good,Female,ST,11,6,High,Enrolled
Government,Semi-Urban,Poor,Poor,Male,OBC,10,5,Low,Dropout
Private,Rural,Excellent,Excellent,Male,SC,15,10,Moderate,Enrolled
Private,Rural,Basic,Good,Female,OBC,14,9,High,Enrolled
Government,Rural,Poor,Poor,Male,ST,13,8,Low,Dropout
